canonical_id,source_system,source_id,sales_order_canonical_id,product_canonical_id,description,uom,ordered_quantity,picked_quantity,unpicked_quantity,delivered_quantity,delivery_evidence,open_quantity,unit_price_ex_tax,tax_rate_percent,net_amount,currency,data_class,dataset_version,business_date,seed
operion:demo:interview-v1:sales-order-line:011,operion,sales-order-line-011,operion:demo:interview-v1:sales-order:006,operion:demo:interview-v1:product:006,DEMO Kraft void-fill paper,Kilogram,18,,,0,simulated_fixture,18,3.05,19,54.90,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:012,operion,sales-order-line-012,operion:demo:interview-v1:sales-order:006,operion:demo:interview-v1:product:009,DEMO Compostable mailer L,Unit,21,,,0,simulated_fixture,21,0.82,19,17.22,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:013,operion,sales-order-line-013,operion:demo:interview-v1:sales-order:007,operion:demo:interview-v1:product:007,DEMO Reusable pallet wrap,Roll,19,,,0,simulated_fixture,19,8.50,19,161.50,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:014,operion,sales-order-line-014,operion:demo:interview-v1:sales-order:008,operion:demo:interview-v1:product:008,DEMO Compostable mailer S,Unit,24,,,0,simulated_fixture,24,0.58,19,13.92,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:015,operion,sales-order-line-015,operion:demo:interview-v1:sales-order:008,operion:demo:interview-v1:product:011,DEMO Corner protector set,Pack,22,,,0,simulated_fixture,22,6.90,19,151.80,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:016,operion,sales-order-line-016,operion:demo:interview-v1:sales-order:009,operion:demo:interview-v1:product:009,DEMO Compostable mailer L,Unit,9,,,0,simulated_fixture,9,0.82,19,7.38,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:017,operion,sales-order-line-017,operion:demo:interview-v1:sales-order:009,operion:demo:interview-v1:product:012,DEMO Document pouch,Pack,16,,,0,simulated_fixture,16,10.00,19,160.00,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:018,operion,sales-order-line-018,operion:demo:interview-v1:sales-order:009,operion:demo:interview-v1:product:003,DEMO Recycled shipping carton L,Unit,20,,,0,simulated_fixture,20,3.30,19,66.00,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:019,operion,sales-order-line-019,operion:demo:interview-v1:sales-order:009,operion:demo:interview-v1:product:006,DEMO Kraft void-fill paper,Kilogram,10,,,0,simulated_fixture,10,3.05,19,30.50,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:020,operion,sales-order-line-020,operion:demo:interview-v1:sales-order:010,operion:demo:interview-v1:product:010,DEMO Thermal shipping label,Pack,7,,,7,simulated_fixture,0,12.70,19,88.90,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:021,operion,sales-order-line-021,operion:demo:interview-v1:sales-order:011,operion:demo:interview-v1:product:011,DEMO Corner protector set,Pack,12,,,0,simulated_fixture,12,7.00,19,84.00,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:022,operion,sales-order-line-022,operion:demo:interview-v1:sales-order:011,operion:demo:interview-v1:product:002,DEMO Recycled shipping carton M,Unit,10,,,0,simulated_fixture,10,2.60,19,26.00,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:023,operion,sales-order-line-023,operion:demo:interview-v1:sales-order:011,operion:demo:interview-v1:product:005,DEMO Water-activated tape 70 mm,Roll,6,,,0,simulated_fixture,6,5.80,19,34.80,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:024,operion,sales-order-line-024,operion:demo:interview-v1:sales-order:011,operion:demo:interview-v1:product:008,DEMO Compostable mailer S,Unit,8,,,0,simulated_fixture,8,0.68,19,5.44,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:025,operion,sales-order-line-025,operion:demo:interview-v1:sales-order:012,operion:demo:interview-v1:product:012,DEMO Document pouch,Pack,5,,,0,simulated_fixture,5,10.10,19,50.50,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:026,operion,sales-order-line-026,operion:demo:interview-v1:sales-order:012,operion:demo:interview-v1:product:003,DEMO Recycled shipping carton L,Unit,4,,,0,simulated_fixture,4,3.40,19,13.60,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:027,operion,sales-order-line-027,operion:demo:interview-v1:sales-order:012,operion:demo:interview-v1:product:006,DEMO Kraft void-fill paper,Kilogram,14,,,0,simulated_fixture,14,3.15,19,44.10,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:028,operion,sales-order-line-028,operion:demo:interview-v1:sales-order:013,operion:demo:interview-v1:product:001,DEMO Recycled shipping carton S,Unit,13,,,0,simulated_fixture,13,2.05,19,26.65,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:029,operion,sales-order-line-029,operion:demo:interview-v1:sales-order:014,operion:demo:interview-v1:product:002,DEMO Recycled shipping carton M,Unit,21,,,0,simulated_fixture,21,2.70,19,56.70,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:030,operion,sales-order-line-030,operion:demo:interview-v1:sales-order:014,operion:demo:interview-v1:product:005,DEMO Water-activated tape 70 mm,Roll,10,,,0,simulated_fixture,10,5.90,19,59.00,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:031,operion,sales-order-line-031,operion:demo:interview-v1:sales-order:014,operion:demo:interview-v1:product:008,DEMO Compostable mailer S,Unit,3,,,0,simulated_fixture,3,0.78,19,2.34,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:032,operion,sales-order-line-032,operion:demo:interview-v1:sales-order:015,operion:demo:interview-v1:product:003,DEMO Recycled shipping carton L,Unit,19,,,19,simulated_fixture,0,3.50,19,66.50,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:033,operion,sales-order-line-033,operion:demo:interview-v1:sales-order:015,operion:demo:interview-v1:product:006,DEMO Kraft void-fill paper,Kilogram,5,,,5,simulated_fixture,0,3.25,19,16.25,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:034,operion,sales-order-line-034,operion:demo:interview-v1:sales-order:015,operion:demo:interview-v1:product:009,DEMO Compostable mailer L,Unit,14,,,14,simulated_fixture,0,1.02,19,14.28,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:035,operion,sales-order-line-035,operion:demo:interview-v1:sales-order:015,operion:demo:interview-v1:product:012,DEMO Document pouch,Pack,4,,,4,simulated_fixture,0,10.20,19,40.80,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:036,operion,sales-order-line-036,operion:demo:interview-v1:sales-order:016,operion:demo:interview-v1:product:004,DEMO Paper packing tape 50 mm,Roll,22,,,0,simulated_fixture,22,4.05,19,89.10,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:037,operion,sales-order-line-037,operion:demo:interview-v1:sales-order:016,operion:demo:interview-v1:product:007,DEMO Reusable pallet wrap,Roll,21,,,0,simulated_fixture,21,8.70,19,182.70,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:038,operion,sales-order-line-038,operion:demo:interview-v1:sales-order:016,operion:demo:interview-v1:product:010,DEMO Thermal shipping label,Pack,13,,,0,simulated_fixture,13,12.80,19,166.40,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:039,operion,sales-order-line-039,operion:demo:interview-v1:sales-order:017,operion:demo:interview-v1:product:005,DEMO Water-activated tape 70 mm,Roll,24,,,0,simulated_fixture,24,5.90,19,141.60,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:040,operion,sales-order-line-040,operion:demo:interview-v1:sales-order:017,operion:demo:interview-v1:product:008,DEMO Compostable mailer S,Unit,4,,,0,simulated_fixture,4,0.78,19,3.12,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:041,operion,sales-order-line-041,operion:demo:interview-v1:sales-order:018,operion:demo:interview-v1:product:006,DEMO Kraft void-fill paper,Kilogram,23,,,0,simulated_fixture,23,3.35,19,77.05,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:042,operion,sales-order-line-042,operion:demo:interview-v1:sales-order:019,operion:demo:interview-v1:product:007,DEMO Reusable pallet wrap,Roll,11,,,0,simulated_fixture,11,8.80,19,96.80,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:043,operion,sales-order-line-043,operion:demo:interview-v1:sales-order:019,operion:demo:interview-v1:product:010,DEMO Thermal shipping label,Pack,4,,,0,simulated_fixture,4,12.90,19,51.60,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:044,operion,sales-order-line-044,operion:demo:interview-v1:sales-order:020,operion:demo:interview-v1:product:008,DEMO Compostable mailer S,Unit,5,,,5,simulated_fixture,0,0.88,19,4.40,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:045,operion,sales-order-line-045,operion:demo:interview-v1:sales-order:020,operion:demo:interview-v1:product:011,DEMO Corner protector set,Pack,14,,,14,simulated_fixture,0,7.20,19,100.80,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:046,operion,sales-order-line-046,operion:demo:interview-v1:sales-order:021,operion:demo:interview-v1:product:009,DEMO Compostable mailer L,Unit,16,,,0,simulated_fixture,16,1.22,19,19.52,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:047,operion,sales-order-line-047,operion:demo:interview-v1:sales-order:021,operion:demo:interview-v1:product:012,DEMO Document pouch,Pack,22,,,0,simulated_fixture,22,10.40,19,228.80,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:048,operion,sales-order-line-048,operion:demo:interview-v1:sales-order:021,operion:demo:interview-v1:product:003,DEMO Recycled shipping carton L,Unit,13,,,0,simulated_fixture,13,3.70,19,48.10,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:049,operion,sales-order-line-049,operion:demo:interview-v1:sales-order:022,operion:demo:interview-v1:product:010,DEMO Thermal shipping label,Pack,13,,,0,simulated_fixture,13,13.00,19,169.00,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:050,operion,sales-order-line-050,operion:demo:interview-v1:sales-order:022,operion:demo:interview-v1:product:001,DEMO Recycled shipping carton S,Unit,13,,,0,simulated_fixture,13,2.35,19,30.55,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:051,operion,sales-order-line-051,operion:demo:interview-v1:sales-order:023,operion:demo:interview-v1:product:011,DEMO Corner protector set,Pack,23,,,0,simulated_fixture,23,7.30,19,167.90,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:052,operion,sales-order-line-052,operion:demo:interview-v1:sales-order:023,operion:demo:interview-v1:product:002,DEMO Recycled shipping carton M,Unit,10,,,0,simulated_fixture,10,2.90,19,29.00,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:053,operion,sales-order-line-053,operion:demo:interview-v1:sales-order:024,operion:demo:interview-v1:product:012,DEMO Document pouch,Pack,21,,,0,simulated_fixture,21,10.50,19,220.50,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:054,operion,sales-order-line-054,operion:demo:interview-v1:sales-order:025,operion:demo:interview-v1:product:001,DEMO Recycled shipping carton S,Unit,19,,,19,simulated_fixture,0,2.45,19,46.55,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:055,operion,sales-order-line-055,operion:demo:interview-v1:sales-order:025,operion:demo:interview-v1:product:004,DEMO Paper packing tape 50 mm,Roll,25,,,25,simulated_fixture,0,4.35,19,108.75,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:056,operion,sales-order-line-056,operion:demo:interview-v1:sales-order:026,operion:demo:interview-v1:product:002,DEMO Recycled shipping carton M,Unit,7,,,0,simulated_fixture,7,3.10,19,21.70,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:057,operion,sales-order-line-057,operion:demo:interview-v1:sales-order:026,operion:demo:interview-v1:product:005,DEMO Water-activated tape 70 mm,Roll,16,,,0,simulated_fixture,16,6.30,19,100.80,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:058,operion,sales-order-line-058,operion:demo:interview-v1:sales-order:027,operion:demo:interview-v1:product:003,DEMO Recycled shipping carton L,Unit,10,,,0,simulated_fixture,10,3.90,19,39.00,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:059,operion,sales-order-line-059,operion:demo:interview-v1:sales-order:027,operion:demo:interview-v1:product:006,DEMO Kraft void-fill paper,Kilogram,22,,,0,simulated_fixture,22,3.65,19,80.30,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:060,operion,sales-order-line-060,operion:demo:interview-v1:sales-order:027,operion:demo:interview-v1:product:009,DEMO Compostable mailer L,Unit,24,,,0,simulated_fixture,24,1.42,19,34.08,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:061,operion,sales-order-line-061,operion:demo:interview-v1:sales-order:027,operion:demo:interview-v1:product:012,DEMO Document pouch,Pack,19,,,0,simulated_fixture,19,10.60,19,201.40,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:062,operion,sales-order-line-062,operion:demo:interview-v1:sales-order:028,operion:demo:interview-v1:product:004,DEMO Paper packing tape 50 mm,Roll,23,,,0,simulated_fixture,23,4.55,19,104.65,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:063,operion,sales-order-line-063,operion:demo:interview-v1:sales-order:028,operion:demo:interview-v1:product:007,DEMO Reusable pallet wrap,Roll,12,,,0,simulated_fixture,12,9.20,19,110.40,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:064,operion,sales-order-line-064,operion:demo:interview-v1:sales-order:029,operion:demo:interview-v1:product:005,DEMO Water-activated tape 70 mm,Roll,9,,,0,simulated_fixture,9,6.40,19,57.60,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:065,operion,sales-order-line-065,operion:demo:interview-v1:sales-order:030,operion:demo:interview-v1:product:006,DEMO Kraft void-fill paper,Kilogram,12,,,12,simulated_fixture,0,3.85,19,46.20,EUR,simulated,interview-demo-v1,2026-09-15,42
