canonical_id,source_system,source_id,customer_canonical_id,contact_canonical_id,salesperson_canonical_id,order_date,expected_delivery_date,customer_po_number,source_status,docstatus,business_status,currency,net_total_ex_tax,data_class,dataset_version,business_date,seed
operion:demo:interview-v1:sales-order:011,operion,sales-order-011,operion:demo:interview-v1:customer:002,operion:demo:interview-v1:contact:002,,2026-10-17,2026-10-23,DEMO-SO-011,to_deliver,1,to_deliver,EUR,150.24,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:012,operion,sales-order-012,operion:demo:interview-v1:customer:002,operion:demo:interview-v1:contact:002,,2026-10-24,2026-10-31,DEMO-SO-012,to_deliver,1,to_deliver,EUR,108.20,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:013,operion,sales-order-013,operion:demo:interview-v1:customer:002,operion:demo:interview-v1:contact:002,,2026-08-01,2026-08-09,DEMO-SO-013,to_deliver,1,to_deliver,EUR,26.65,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:014,operion,sales-order-014,operion:demo:interview-v1:customer:003,operion:demo:interview-v1:contact:003,,2026-08-08,2026-08-17,DEMO-SO-014,draft,0,draft,EUR,118.04,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:015,operion,sales-order-015,operion:demo:interview-v1:customer:003,operion:demo:interview-v1:contact:003,,2026-08-15,2026-08-25,DEMO-SO-015,completed,1,completed,EUR,137.83,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:016,operion,sales-order-016,operion:demo:interview-v1:customer:003,operion:demo:interview-v1:contact:003,,2026-08-22,2026-08-25,DEMO-SO-016,to_deliver,1,to_deliver,EUR,438.20,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:017,operion,sales-order-017,operion:demo:interview-v1:customer:003,operion:demo:interview-v1:contact:003,,2026-08-29,2026-09-02,DEMO-SO-017,to_deliver,1,to_deliver,EUR,144.72,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:018,operion,sales-order-018,operion:demo:interview-v1:customer:004,operion:demo:interview-v1:contact:004,,2026-09-05,2026-09-10,DEMO-SO-018,to_deliver,1,to_deliver,EUR,77.05,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:019,operion,sales-order-019,operion:demo:interview-v1:customer:004,operion:demo:interview-v1:contact:004,,2026-09-12,2026-09-18,DEMO-SO-019,to_deliver,1,to_deliver,EUR,148.40,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:020,operion,sales-order-020,operion:demo:interview-v1:customer:004,operion:demo:interview-v1:contact:004,,2026-09-19,2026-09-26,DEMO-SO-020,completed,1,completed,EUR,105.20,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:021,operion,sales-order-021,operion:demo:interview-v1:customer:005,operion:demo:interview-v1:contact:005,,2026-09-26,2026-10-04,DEMO-SO-021,draft,0,draft,EUR,296.42,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:022,operion,sales-order-022,operion:demo:interview-v1:customer:005,operion:demo:interview-v1:contact:005,,2026-10-03,2026-10-12,DEMO-SO-022,to_deliver,1,to_deliver,EUR,199.55,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:023,operion,sales-order-023,operion:demo:interview-v1:customer:005,operion:demo:interview-v1:contact:005,,2026-10-10,2026-10-20,DEMO-SO-023,to_deliver,1,to_deliver,EUR,196.90,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:024,operion,sales-order-024,operion:demo:interview-v1:customer:006,operion:demo:interview-v1:contact:006,,2026-10-17,2026-10-20,DEMO-SO-024,to_deliver,1,to_deliver,EUR,220.50,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:025,operion,sales-order-025,operion:demo:interview-v1:customer:006,operion:demo:interview-v1:contact:006,,2026-10-24,2026-10-28,DEMO-SO-025,completed,1,completed,EUR,155.30,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:026,operion,sales-order-026,operion:demo:interview-v1:customer:007,operion:demo:interview-v1:contact:007,,2026-08-01,2026-08-06,DEMO-SO-026,to_deliver,1,to_deliver,EUR,122.50,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:027,operion,sales-order-027,operion:demo:interview-v1:customer:007,operion:demo:interview-v1:contact:007,,2026-08-08,2026-08-14,DEMO-SO-027,to_deliver,1,to_deliver,EUR,354.78,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:028,operion,sales-order-028,operion:demo:interview-v1:customer:008,operion:demo:interview-v1:contact:008,,2026-08-15,2026-08-22,DEMO-SO-028,draft,0,draft,EUR,215.05,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:029,operion,sales-order-029,operion:demo:interview-v1:customer:008,operion:demo:interview-v1:contact:008,,2026-08-22,2026-08-30,DEMO-SO-029,to_deliver,1,to_deliver,EUR,57.60,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:030,operion,sales-order-030,operion:demo:interview-v1:customer:009,operion:demo:interview-v1:contact:009,,2026-08-29,2026-09-07,DEMO-SO-030,completed,1,completed,EUR,46.20,simulated,interview-demo-v1,2026-09-15,42
