canonical_id,source_system,source_id,purchase_order_canonical_id,product_canonical_id,description,source_uom,canonical_uom,units_per_outer,ordered_outers,received_outers,open_quantity,expected_unit_price_per_outer,expected_unit_price_each,net_amount,currency,last_receipt_date,data_class,dataset_version,business_date,seed
wwi:purchase_order_line:8270,wwi,8270,wwi:purchase_order:2051,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2740,2740,0,38.40,1.600000,105216.00,USD,2016-05-18,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8271,wwi,8271,wwi:purchase_order:2051,wwi:product:204,Tape dispenser (Red),Each,Each,10,3184,3184,0,170.00,17.000000,541280.00,USD,2016-05-18,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8278,wwi,8278,wwi:purchase_order:2053,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1612,1612,0,47.50,1.900000,76570.00,USD,2016-05-19,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8279,wwi,8279,wwi:purchase_order:2053,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2746,2746,0,38.40,1.600000,105446.40,USD,2016-05-19,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8280,wwi,8280,wwi:purchase_order:2053,wwi:product:204,Tape dispenser (Red),Each,Each,10,3188,3188,0,170.00,17.000000,541960.00,USD,2016-05-19,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8287,wwi,8287,wwi:purchase_order:2055,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1637,1637,0,47.50,1.900000,77757.50,USD,2016-05-20,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8288,wwi,8288,wwi:purchase_order:2055,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2762,2762,0,38.40,1.600000,106060.80,USD,2016-05-20,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8289,wwi,8289,wwi:purchase_order:2055,wwi:product:204,Tape dispenser (Red),Each,Each,10,3211,3211,0,170.00,17.000000,545870.00,USD,2016-05-20,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8296,wwi,8296,wwi:purchase_order:2057,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1645,1645,0,47.50,1.900000,78137.50,USD,2016-05-23,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8297,wwi,8297,wwi:purchase_order:2057,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2770,2770,0,38.40,1.600000,106368.00,USD,2016-05-23,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8298,wwi,8298,wwi:purchase_order:2057,wwi:product:204,Tape dispenser (Red),Each,Each,10,3221,3221,0,170.00,17.000000,547570.00,USD,2016-05-23,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8301,wwi,8301,wwi:purchase_order:2059,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,10,10,0,38.40,1.600000,384.00,USD,2016-05-23,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8308,wwi,8308,wwi:purchase_order:2061,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1636,1636,0,47.50,1.900000,77710.00,USD,2016-05-24,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8309,wwi,8309,wwi:purchase_order:2061,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2781,2781,0,38.40,1.600000,106790.40,USD,2016-05-24,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8310,wwi,8310,wwi:purchase_order:2061,wwi:product:204,Tape dispenser (Red),Each,Each,10,3224,3224,0,170.00,17.000000,548080.00,USD,2016-05-24,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8317,wwi,8317,wwi:purchase_order:2063,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1647,1647,0,47.50,1.900000,78232.50,USD,2016-05-25,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8318,wwi,8318,wwi:purchase_order:2063,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2779,2779,0,38.40,1.600000,106713.60,USD,2016-05-25,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8319,wwi,8319,wwi:purchase_order:2063,wwi:product:204,Tape dispenser (Red),Each,Each,10,3222,3222,0,170.00,17.000000,547740.00,USD,2016-05-25,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8326,wwi,8326,wwi:purchase_order:2065,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1644,1644,0,47.50,1.900000,78090.00,USD,2016-05-26,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8327,wwi,8327,wwi:purchase_order:2065,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2785,2785,0,38.40,1.600000,106944.00,USD,2016-05-26,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8328,wwi,8328,wwi:purchase_order:2065,wwi:product:204,Tape dispenser (Red),Each,Each,10,3222,3222,0,170.00,17.000000,547740.00,USD,2016-05-26,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8335,wwi,8335,wwi:purchase_order:2067,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1654,1654,0,47.50,1.900000,78565.00,USD,2016-05-27,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8336,wwi,8336,wwi:purchase_order:2067,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2800,2800,0,38.40,1.600000,107520.00,USD,2016-05-27,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8337,wwi,8337,wwi:purchase_order:2067,wwi:product:204,Tape dispenser (Red),Each,Each,10,3237,3237,0,170.00,17.000000,550290.00,USD,2016-05-27,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8344,wwi,8344,wwi:purchase_order:2069,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1672,1672,0,47.50,1.900000,79420.00,USD,2016-05-30,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8345,wwi,8345,wwi:purchase_order:2069,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2807,2807,0,38.40,1.600000,107788.80,USD,2016-05-30,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8346,wwi,8346,wwi:purchase_order:2069,wwi:product:204,Tape dispenser (Red),Each,Each,10,3235,3235,0,170.00,17.000000,549950.00,USD,2016-05-30,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8356,wwi,8356,wwi:purchase_order:2072,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1677,1677,0,47.50,1.900000,79657.50,USD,2016-05-31,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8357,wwi,8357,wwi:purchase_order:2072,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2803,2803,0,38.40,1.600000,107635.20,USD,2016-05-31,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8358,wwi,8358,wwi:purchase_order:2072,wwi:product:204,Tape dispenser (Red),Each,Each,10,3245,3245,0,170.00,17.000000,551650.00,USD,2016-05-31,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8365,wwi,8365,wwi:purchase_order:2074,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1674,0,41850,47.50,1.900000,79515.00,USD,,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8366,wwi,8366,wwi:purchase_order:2074,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2804,0,67296,38.40,1.600000,107673.60,USD,,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8367,wwi,8367,wwi:purchase_order:2074,wwi:product:204,Tape dispenser (Red),Each,Each,10,3260,0,32600,170.00,17.000000,554200.00,USD,,public_sample,interview-wwi-v1,2016-05-31,42
